,index,Date,Open,High,Low,Close,Volume,Change
426,5597,2022-09-23,54400,54900,54200,54500,10555964,0.0018382352941177516
427,5598,2022-09-26,53700,54200,53600,53900,15008449,-0.011009174311926606
428,5599,2022-09-27,53800,54200,53500,54200,16631289,0.005565862708719838
429,5600,2022-09-28,53900,54400,52500,52900,19991129,-0.023985239852398532
430,5601,2022-09-29,53300,53700,52600,52600,13882080,-0.005671077504725952
431,5602,2022-09-30,52300,53600,51800,53100,22503249,0.009505703422053147
432,5603,2022-10-04,55300,55400,54500,55200,19148435,0.039548022598870025
433,5604,2022-10-05,56900,57200,55400,56000,22458970,0.01449275362318847
434,5605,2022-10-06,56700,57300,56300,56300,14944446,0.005357142857142838
435,5606,2022-10-07,55900,56900,55200,56200,16886813,-0.001776198934280604
436,5607,2022-10-11,54400,55700,54000,55400,21437877,-0.014234875444839812
437,5608,2022-10-12,55700,57000,55200,55800,18408910,0.0072202166064982976
438,5609,2022-10-13,55400,56100,55200,55200,13784602,-0.010752688172043001
439,5610,2022-10-14,56200,56500,55800,56300,12924326,0.019927536231884035
440,5611,2022-10-17,55800,57000,55700,56600,13641878,0.005328596802841812
441,5612,2022-10-18,56700,57100,55800,56500,14820702,-0.0017667844522968323
442,5613,2022-10-19,56700,56900,55700,55800,12660652,-0.012389380530973493
443,5614,2022-10-20,55200,56000,55100,55500,17107653,-0.005376344086021501
444,5615,2022-10-21,55100,56300,55100,55900,11456060,0.007207207207207134
445,5616,2022-10-24,57000,57500,56700,57500,16944503,0.028622540250447193
446,5617,2022-10-25,57000,58600,57000,57700,17405678,0.003478260869565153
447,5618,2022-10-26,58000,59600,57700,59400,20824967,0.029462738301559765
448,5619,2022-10-27,59700,60100,58900,59500,21756712,0.0016835016835017313
449,5620,2022-10-28,58900,59200,57200,57300,20924937,-0.036974789915966366
450,5621,2022-10-31,58100,59900,58000,59400,18999514,0.03664921465968596
451,5622,2022-11-01,59900,60300,59500,60000,17201647,0.010101010101010166
452,5623,2022-11-02,59700,60000,59300,59600,13202919,-0.00666666666666671
453,5624,2022-11-03,58600,59800,58100,59200,17492162,-0.006711409395973145
454,5625,2022-11-04,59100,59500,58400,59400,12445841,0.0033783783783782884
455,5626,2022-11-07,59700,60300,59400,60200,12437246,0.013468013468013407
456,5627,2022-11-08,60500,61900,60500,61800,18273898,0.02657807308970095
457,5628,2022-11-09,62000,62200,61300,62000,14045592,0.003236245954692629
458,5629,2022-11-10,61400,61500,60400,60400,21087633,-0.02580645161290318
459,5630,2022-11-11,63100,63200,62300,62900,20037163,0.041390728476821126
460,5631,2022-11-14,62900,62900,61700,61900,15973416,-0.015898251192368873
461,5632,2022-11-15,62200,62500,61600,62400,12310986,0.008077544426494443
462,5633,2022-11-16,62400,62700,61700,62700,12909260,0.004807692307692291
463,5634,2022-11-17,62000,62000,61300,61400,13298296,-0.020733652312599715
464,5635,2022-11-18,61800,62400,61400,61800,12236503,0.006514657980456029
465,5636,2022-11-21,61400,61800,60800,61400,9378097,-0.006472491909385147
466,5637,2022-11-22,60900,61200,60300,60600,9411289,-0.013029315960912058
467,5638,2022-11-23,61200,61300,60700,61000,8765050,0.0066006600660066805
468,5639,2022-11-24,61200,61700,60900,61400,8125010,0.006557377049180246
469,5640,2022-11-25,61400,61700,60800,61000,6677933,-0.006514657980456029
470,5641,2022-11-28,60500,60500,59800,60100,8589032,-0.014754098360655776
471,5642,2022-11-29,59900,60600,59800,60600,7014160,0.008319467554076532
472,5643,2022-11-30,60400,62200,60200,62200,19768903,0.0264026402640265
473,5644,2022-12-01,63100,63200,62300,62600,16631445,0.006430868167202508
474,5645,2022-12-02,62500,62500,60400,60400,15331184,-0.03514376996805113
475,5646,2022-12-05,60900,61100,60000,60300,13767787,-0.0016556291390728006
476,5647,2022-12-06,59800,60100,59200,59200,13888300,-0.018242122719734688
477,5648,2022-12-07,58800,59600,58500,58900,12100662,-0.0050675675675675436
478,5649,2022-12-08,58700,59200,58600,59200,12986815,0.005093378607809784
479,5650,2022-12-09,59300,60600,59300,60400,10529632,0.020270270270270174
480,5651,2022-12-12,59900,60000,59400,59500,9036472,-0.01490066225165565
481,5652,2022-12-13,59600,60300,59400,59700,9040873,0.003361344537815114
482,5653,2022-12-14,59800,60600,59800,60500,8207485,0.01340033500837512
483,5654,2022-12-15,59800,60200,59300,59300,8716039,-0.01983471074380161
484,5655,2022-12-16,58300,59500,58300,59500,13033596,0.003372681281618828
485,5656,2022-12-19,59500,59900,59100,59500,7696187,0.0
